sphericity,finalCellSpher2,finalCellSpher3,finalCellSpher4,finalCellSpher5,finalCellSpher6,finalCellSpher7,finalCellSpher8,finalCellSpher9,finalCellSpher10,finalCellSpher11,finalCellSpher12,finalCellSpher13,finalCellSpher14,finalCellSpher15,finalCellSpher16,finalCellSpher17,finalCellSpher18,finalCellSpher19,finalCellSpher20,finalCellSpher21,finalCellSpher22,finalCellSpher23,finalCellSpher24,finalCellSpher25,finalCellSpher26,finalCellSpher27,finalCellSpher28,finalCellSpher29,finalCellSpher30,finalCellSpher31,finalCellSpher32,finalCellSpher33,finalCellSpher34,finalCellSpher35,finalCellSpher36,finalCellSpher37,finalCellSpher38,finalCellSpher39,finalCellSpher40,finalCellSpher41
0.523125589,0.790437713,0.983321481,0.750747704,0.992739571,0.98935727,0.959038313,0.992562277,0.99437166,0.956734796,0.910462266,0.998869263,0.999638032,0.999251242,0.944557415,0.995804637,0.987525416,0.927817311,0.919813209,0.989540939,0.848973842,0.998794952,0.984716126,0.914311131,0.849752061,0.969119586,0.996977456,0.967904121,0.999767852,0.98570913,0.844984332,0.98821428,0.85268781,0.897410882,0.856805737,0.967485641,0.904886506,0.961526236,0.864962,0.721540561,0.770162017
0.790472269,0.423263925,0.932300168,0.991365067,0.973382517,0.996381347,0.644727952,0.983673398,0.581848796,0.991436528,0.834740477,0.850347873,0.98396331,0.793520563,0.933445,0.996549313,0.969516375,0.997297698,0.997327127,0.992220212,0.925121268,0.998123363,0.946363745,0.967637069,0.996020301,0.942201692,0.904088113,0.884139192,0.971770147,0.967629249,0.980486015,0.998592322,0.828239913,0.901502825,0.988745105,0.96008629,0.712069376,0.968338538,0.447726506,0.999433134,0.77589462
0.618122876,0.671244717,0.733130003,0.999881097,0.999675943,0.997498514,0.908348576,0.704682837,0.986630534,0.991162716,0.764404757,0.883488322,0.904361494,0.969209651,0.97450809,0.98252022,0.949420014,0.960642659,0.973413688,0.84562389,0.994854107,0.64241463,0.934113145,0.987347928,0.886550656,0.904120202,0.962002202,0.984648749,0.933130256,0.997206116,0.999935482,0.899738401,0.992105402,0.850296624,0.986366812,0.978994624,0.973933668,0.962831165,0.998433468,0.998538488,0.925686187
0.599374533,0.673542688,0.791345757,0.902959982,0.999999622,0.633087529,0.821032945,0.950900731,0.965921343,0.896253599,0.922622969,0.945499563,0.958776379,0.501000998,0.983999091,0.510480731,0.984048323,0.918981384,0.979535243,0.997796997,0.890305066,0.987229626,0.932814465,0.97076246,0.992759386,0.881424428,0.833226181,0.982187126,0.992954415,0.524834716,0.978787969,0.988056758,0.998506172,0.944399946,0.99573648,0.962845139,0.751612098,0.998696734,0.957069483,0.98981125,0.984207083
0.590495706,0.689112441,0.754839513,0.995148307,0.893233325,0.850509406,0.991979989,0.817819202,0.960880799,0.871923439,0.513631852,0.935106904,0.843288445,0.844537132,0.987187791,0.961320475,0.714941438,0.89519306,0.836278728,0.886365399,0.941170278,0.958786559,0.995521989,0.999228335,0.969750739,0.99980035,0.998655992,0.631761743,0.975663136,0.980016404,0.995283103,0.990132074,0.831966663,0.991413077,0.763635351,0.996651746,0.828904331,0.999856457,0.990777051,0.971602987,0.910418494
0.631145835,0.609148241,0.376724461,0.999636777,0.911120427,0.81901929,0.987187739,0.795720612,0.989367879,0.909160071,0.957476435,0.536503981,0.660300241,0.94350927,0.92925321,0.998324934,0.849551619,0.801730223,0.703335903,0.99991976,0.973663121,0.863755317,0.996038099,0.995618088,0.957172099,0.916380095,0.997165734,0.806405867,0.999997428,0.766537735,0.62227911,0.945772515,0.931190103,0.963329452,0.946967967,0.944398634,0.960241454,0.997924024,0.999943329,0.999890867,0.852262185
0.692363024,0.227661969,0.877858325,0.691111085,0.97911922,0.758079143,0.994068884,0.814924251,0.998639879,0.983519322,0.999543943,0.831776622,0.687530317,0.893193941,0.989077475,0.985657021,0.992587717,0.99340088,0.974454995,0.987623683,0.759013549,0.922992494,0.917932995,0.985878616,0.927412394,0.87848889,0.732843081,0.983996105,0.989967039,0.972250808,0.913855576,0.998532849,0.870167077,0.923971136,0.807758218,0.995586706,0.939437315,0.934083028,0.751003946,0.950292981,0.881450212
0.849324763,0.350357315,0.909142948,0.989305122,0.99938875,0.950455141,0.997950432,0.970329123,0.998776825,0.999604633,0.934592859,0.713651431,0.999633529,0.996526695,0.992657651,0.918944299,0.929058513,0.992946766,0.964432667,0.99867634,0.931196214,0.986595388,0.990071733,0.998879144,0.911857356,0.893804059,0.908994477,0.988333086,0.859245808,0.997205216,0.993690481,0.999991205,0.904440053,0.970339854,0.998819455,0.939375974,0.912335223,0.795720083,0.963918844,0.977770141,0.996089239
0.750569403,0.50291596,0.963320927,0.988991255,0.978961708,0.996927349,0.995533483,0.931729455,0.996417845,0.96256564,0.942207294,0.931942476,0.906298408,0.997170101,0.96154953,0.769595531,0.848980948,0.997973588,0.990771153,0.879527355,0.91893278,0.863722256,0.993572615,0.940518866,0.983885281,0.69098985,0.975703839,0.717287784,0.999797439,0.972059085,0.884640384,0.931659671,0.987637198,0.894807758,0.724373798,0.9051135,0.988369411,0.99885777,0.935281167,0.992002728,0.87110914
0.668780506,0.59373685,0.767320586,0.875198998,0.691198066,0.99964342,0.993234069,0.999441592,0.883655835,0.976366356,0.968453737,0.96154803,0.948148065,0.852222208,0.991136948,0.945664025,0.735865552,0.998839905,0.884847187,0.997122786,0.99839971,0.902664995,0.963232654,0.953915359,0.973564804,0.923110769,0.981652941,0.72025784,0.842047881,0.999937226,0.906128976,0.997901549,0.999975192,0.862685487,0.986252348,0.912627039,0.984968601,0.99780306,0.998143627,0.977745082,0.927603279
