redondez,esfericidad,finalCell3,finalCell4,finalCell5,finalCell6,finalCell7,finalCell8,finalCell9,finalCell10,finalCell11,finalCell12,finalCell13,finalCell14,finalCell15,finalCell16,finalCell17,finalCell18,finalCell19,finalCell20,finalCell21,finalCell22,finalCell23,finalCell24,finalCell25,finalCell26,finalCell27,finalCell28,finalCell29,finalCell30,finalCell31,finalCell32,finalCell33,finalCell34,finalCell35,finalCell36,finalCell37,finalCell38,finalCell39,finalCell40,finalCell41,finalCell42
0.320524991,0.570282042,0.714968013,0.960180387,0.994389809,0.967175521,0.98567613,0.977805708,0.999751377,0.921300198,0.990769663,0.966305726,0.999694673,0.97809901,0.986197753,0.439045241,0.937486611,0.791907712,0.879825451,0.932348445,0.910909119,0.919070051,0.928278592,0.999966978,0.995474267,0.989103384,0.99976645,0.949586919,0.982584309,0.998995454,0.971194759,0.83643502,0.807787424,0.837742868,0.993655674,0.999956369,0.971037925,0.944285342,0.978734597,0.982814159,0.652490082,0.970398523
0.219801039,0.662464917,0.598185193,0.973496727,0.997728577,0.978689602,0.993412927,0.999144547,0.996013393,0.923015448,0.921530695,0.996542085,0.999948945,0.997401823,0.999820073,0.999750487,0.853099652,0.951686344,0.587885894,0.970752038,0.978710888,0.934222627,0.966332009,0.985406637,0.995130232,0.921382811,0.808021679,0.999232522,0.999457916,0.956109756,0.984017455,0.878002675,0.999576121,0.656085648,0.999341294,0.653518447,0.945662244,0.999980389,0.822130857,0.917510239,0.924708974,0.984958309
0.544028044,0.739044607,0.292029809,0.721670636,0.966677439,0.838350701,0.999992555,0.987855003,0.995704532,0.970000152,0.803761095,0.969401642,0.818220162,0.916039475,0.579721348,0.963572904,0.986970187,0.967421776,0.915807951,0.975542574,0.999959498,0.903397837,0.999987358,0.923730038,0.96068495,0.969461954,0.999089381,0.998267011,0.897735895,0.874752786,0.947643545,0.97542722,0.968979013,0.902061015,0.986250137,0.984014156,0.726897372,0.998755568,0.995378669,0.999602812,0.999722982,0.992435344
0.17817165,0.548113167,0.742160118,0.981517697,0.993920383,0.992673578,0.990809818,0.861229865,0.996491894,0.961503293,0.999184103,0.99578447,0.970180965,0.987972555,0.999800081,0.989906524,0.891362879,0.989555363,0.989669432,0.983066072,0.982531831,0.992329439,0.974603321,0.966587436,0.902251251,0.999782001,0.999834076,0.847314815,0.978821284,0.967285449,0.995274103,0.931077234,0.858018255,0.976682431,0.966612896,0.990733275,0.979257298,0.931202841,0.925644462,0.999620603,0.987453066,0.995912926
0.859085679,0.683197439,0.655122097,0.969514583,0.8097126,0.999831227,0.890177564,0.907084835,0.994336487,0.988323623,0.910666425,0.992460889,0.996357463,0.999101243,0.89804296,0.979908979,0.922604486,0.906452735,0.922506745,0.996160424,0.964268231,0.993353835,0.999385309,0.911573279,0.878157411,0.94760055,0.999728326,0.999794194,0.999163758,0.999944417,0.943204934,0.862915687,0.8174982,0.950444352,0.999940393,0.914581541,0.942368864,0.973489335,0.715094784,0.960887989,0.926447067,0.926225821
0.292403102,0.72232151,0.56697099,0.957520348,0.99403741,0.989723372,0.991926432,0.866157935,0.982280337,0.960358876,0.760805315,0.999648777,0.877314166,0.993463507,0.952357561,0.996759185,0.994228394,0.999999993,0.998666632,0.980781726,0.427844697,0.999969319,0.934179569,0.888649944,0.967745159,0.99286543,0.964845228,0.850476986,0.993671227,0.995406408,0.857201958,0.987895585,0.904041406,0.987081742,0.933425133,0.948255086,0.92732592,0.998224638,0.984517617,0.997578487,0.996376985,0.925648128
0.19597131,0.737517357,0.49966161,0.999624814,0.990211375,0.923239389,0.995392893,0.711826603,0.999858828,0.978580723,0.890815511,0.9988385,0.92004228,0.999944146,0.694990267,0.988691239,0.982216444,0.986834499,0.999682077,0.98029882,0.698183404,0.985950131,0.917370938,0.994765223,0.99065233,0.96177325,0.938480138,0.940251251,0.990755845,0.98990058,0.892806957,0.999983691,0.991308539,0.993175415,0.925772862,0.998662499,0.999997297,0.993327422,0.858548707,0.601116656,0.93904102,0.909143806
0.440263897,0.637313664,0.704980878,0.892965991,0.948602663,0.968203239,0.970685972,0.997595041,0.843042614,0.980278425,0.967015618,0.991932549,0.821620278,0.871906305,0.807466086,0.920062586,0.964499015,0.994117094,0.99970039,0.990075514,0.767786767,0.830962652,0.840279032,0.993957237,0.998749533,0.896955155,0.89150989,0.999716342,0.918415326,0.858866359,0.997944613,0.951363111,0.998742482,0.752721488,0.999880244,0.993475524,0.995300864,0.934212479,0.99482784,0.951376438,0.999997845,0.934861747
0.258476794,0.508464158,0.727773022,0.9741794,0.869095295,0.999712709,0.987374056,0.986628116,0.98279268,0.883515476,0.999999993,0.966516302,0.977164817,0.988062465,0.968105356,0.987284869,0.952541768,0.99997577,0.976412356,0.993539325,0.996133295,0.893876908,0.98141471,0.999402801,0.974388198,0.993444937,0.982123797,0.99446093,0.986828811,0.995495598,0.925333638,0.999361612,0.999391909,0.926614854,0.988120042,0.909696003,0.954443893,0.99446342,0.983711112,0.999475958,0.984001254,0.973153914
0.151664943,0.666224301,0.524611875,0.980684656,0.98566181,0.99109234,0.811029099,0.970870073,0.992935956,0.946324719,0.60968071,0.97268759,0.998490115,0.923635462,0.879343759,0.948859796,0.993476516,0.999996127,0.874412958,0.997128187,0.975676071,0.957595046,0.998168884,0.962281276,0.993641085,0.97854819,0.993319167,0.950708872,0.996566166,0.999958368,0.971482908,0.947733256,0.999830408,0.992552582,0.921904929,0.986430964,0.991894504,0.605165347,0.861680072,0.955575337,0.975543105,0.999717471
